"Referencia","Designação","Cor","Tamanho","EAN","PVP","Stock","Posição Grelha","Data da exportação"
"152347545-5","Mitsubishi","769","2XL","374288706019261","€45,36","114","3","2019-04-30 01:21:07"
"967892873-6","Honda","359","XL","060405451953022365","€27,04","27","3","2019-04-29 10:27:19"
"607690606-5","Nissan","577","XS","3566922246066604","€94,76","3","3","2019-04-01 17:21:19"
"719515172-7","Dodge","187","2XL","6304035311662769181","€34,27","105","3","2019-04-29 01:49:37"
"849595642-X","Kia","425","M","5108756854063069","€77,75","45","2","2019-04-24 09:23:49"
"203067701-9","Chevrolet","288","XS","4911561529798363803","€74,87","123","1","2019-04-08 11:31:41"
"856195170-2","Volkswagen","420","L","372301997264793","€8,57","40","2","2019-05-02 21:11:58"
"083146903-X","Ford","951","M","374283841613185","€43,34","10","1","2019-04-13 02:29:23"
"020705771-0","Acura","895","XS","56108709065127358","€24,15","57","2","2019-04-02 00:27:29"
"571815633-6","Hyundai","257","3XL","3566104387570674","€95,24","102","1","2019-04-07 01:57:31"
"680883288-9","Oldsmobile","663","2XL","5108750072147028","€85,79","79","3","2019-04-08 15:24:07"
"579081390-9","Oldsmobile","949","L","3575568008309895","€94,17","10","3","2019-04-19 19:39:44"
"005508467-2","Pontiac","435","XL","5399609796684781","€78,52","75","1","2019-04-24 09:42:11"
"215489724-X","Suzuki","443","XL","3529062616346413","€11,77","45","1","2019-04-25 18:02:22"
"251516868-X","Scion","844","M","3577412692564861","€72,33","70","2","2019-04-25 05:09:58"
"323295586-X","Mitsubishi","108","3XL","4017954694501","€94,67","150","3","2019-04-29 16:07:00"
"863523565-7","Porsche","101","M","36112381218149","€33,87","67","3","2019-04-05 17:45:57"
"475083214-6","Mazda","487","XS","3552646768270189","€61,68","54","1","2019-04-05 19:34:36"
"451996344-3","Hyundai","536","XS","3566632244273231","€62,45","111","3","2019-04-20 02:58:08"
"369582841-2","Pontiac","362","S","3573263112633602","€93,94","21","1","2019-04-04 05:00:36"
"709230147-5","Ford","621","XS","3580161179328648","€86,33","134","2","2019-04-14 17:27:56"
"691010283-5","Nissan","644","XS","3568494252397354","€44,60","88","3","2019-04-15 17:45:07"
"931548585-8","Saab","509","XL","374288575132047","€99,93","97","3","2019-04-23 00:16:29"
"464030133-2","Ford","555","XL","3540740483204774","€99,51","133","3","2019-04-05 13:08:10"
"646776369-6","Infiniti","227","XS","3535330529267931","€60,39","10","2","2019-04-28 10:12:01"
"524922539-X","GMC","434","M","4936528270745616","€75,49","47","2","2019-05-01 09:29:40"
"595675445-1","Lexus","872","2XL","67090107024316526","€8,22","136","3","2019-04-28 02:15:46"
"194017640-9","Mercedes-Benz","758","S","372301789690734","€16,83","2","2","2019-04-27 20:59:49"
"890302819-8","Ford","185","S","3574472138813077","€31,90","134","1","2019-04-07 02:12:45"
"058516628-5","Toyota","176","XL","3585852394662374","€92,38","104","3","2019-04-02 21:12:17"
"108206373-8","Audi","221","XL","3586199248393940","€97,66","70","3","2019-04-19 06:07:36"
"015046129-1","Lincoln","550","XS","3530399804146511","€58,72","141","1","2019-04-09 06:26:38"
"503180864-0","GMC","894","S","58932098820424559","€12,01","150","2","2019-04-30 08:39:31"
"362524635-X","Dodge","647","M","3560923651628298","€3,87","70","3","2019-04-05 03:02:18"
"587512050-9","Lexus","798","2XL","3571367359637499","€63,65","4","2","2019-04-13 01:31:59"
"360455472-1","Ford","187","M","5893177992425996","€62,56","112","3","2019-04-28 11:06:22"
"668223757-X","Mazda","531","M","30291163455834","€85,34","11","2","2019-04-28 00:04:52"
"155243592-X","GMC","513","XS","3580918154809474","€57,79","123","2","2019-05-02 12:31:08"
"448970585-9","Infiniti","765","L","5129877413691714","€50,86","71","3","2019-05-02 06:35:20"
"909549524-8","Lincoln","541","L","30231169426868","€43,78","55","3","2019-04-16 12:16:46"
"549221818-2","Kia","942","XL","4041596389700","€95,57","44","3","2019-04-16 04:58:52"
"812576695-2","Mitsubishi","926","L","4917494365469211","€41,33","147","2","2019-04-01 01:34:40"
"279001601-1","Volvo","947","M","4936038779112182874","€98,02","126","3","2019-04-18 01:04:39"
"269684141-1","BMW","741","L","3537485215012559","€90,16","26","3","2019-04-07 09:33:43"
"146435903-2","Land Rover","191","3XL","3567481464542761","€43,48","46","3","2019-04-16 12:27:36"
"949220465-7","Mercury","961","XS","3586236809170596","€29,47","135","1","2019-04-10 15:03:55"
"281239674-1","Volvo","933","XS","50202343819143285","€47,27","82","3","2019-04-18 23:42:50"
"854481168-X","Dodge","178","S","4913074097285699","€49,63","119","1","2019-04-25 23:47:08"
"155931633-0","Dodge","732","3XL","5100173359460055","€72,11","79","3","2019-04-17 16:04:02"
"908869109-6","Chevrolet","333","3XL","5602235672288720","€36,48","6","1","2019-04-26 08:36:14"
"767369400-X","Buick","17","L","4508449746575271","€66,52","139","3","2019-04-13 16:43:37"
"009931427-4","Mazda","884","3XL","3584753048794723","€51,39","70","2","2019-04-27 22:21:05"
"803814378-7","Chevrolet","886","S","67632235321441203","€76,15","72","3","2019-04-16 10:25:23"
"858212464-3","GMC","945","2XL","341749220981849","€55,79","136","3","2019-04-01 14:15:28"
"853750160-3","Ford","291","XS","5100172926917472","€33,02","63","2","2019-04-03 06:44:30"
"052719997-4","Mercury","838","S","201545675682158","€16,32","74","3","2019-04-29 09:49:27"
"161143919-1","GMC","139","2XL","3575463952897865","€55,65","79","2","2019-04-10 18:18:51"
"934267365-1","Bentley","697","S","201499415880880","€68,43","119","1","2019-04-14 04:38:26"
"634957603-9","Audi","37","M","5602234384857948","€4,75","25","3","2019-04-10 21:47:30"
"748236658-X","Nissan","392","XL","3553489757176771","€2,69","17","2","2019-04-05 02:14:01"
"787655124-6","Buick","940","XS","3575021671221708","€93,70","123","1","2019-04-17 15:33:26"
"008100706-X","Suzuki","702","XL","56022330334611354","€28,10","51","2","2019-04-24 11:07:31"
"350683919-5","Saturn","661","XS","4508899324786353","€18,72","36","1","2019-04-27 22:54:17"
"954325047-2","Saturn","695","3XL","6759232677747841","€96,05","132","3","2019-04-10 18:43:22"
"253078407-8","Buick","846","L","3533602484555571","€97,58","135","2","2019-04-04 07:48:37"
"653345589-3","Toyota","363","S","5020582789394654088","€68,65","67","3","2019-04-05 07:23:21"
"696054511-0","Ferrari","5","XS","58934819839572056","€50,83","62","2","2019-04-09 16:21:13"
"865459152-8","BMW","49","S","5602223039625594","€45,28","87","2","2019-04-11 23:29:38"
"153884902-X","Rolls-Royce","393","L","3560536547478692","€89,46","93","1","2019-04-10 03:40:36"
"237698869-1","BMW","998","M","5893280255628223335","€34,69","109","1","2019-04-29 07:41:44"
"440075862-1","BMW","714","L","3552818365931618","€18,36","36","1","2019-04-11 12:04:17"
"069110370-4","Subaru","58","M","4902983730389960","€6,56","3","3","2019-04-08 00:00:58"
"754832568-1","Subaru","600","M","3570979842815960","€9,92","69","2","2019-04-06 09:00:31"
"081198273-4","Geo","607","S","3546968669386784","€11,42","47","1","2019-04-21 14:44:29"
"731365003-5","Bentley","609","L","30194261928019","€56,66","20","3","2019-04-29 14:52:54"
"872969626-7","Nissan","649","S","3582795664175119","€49,53","94","1","2019-04-13 14:06:03"
"929962869-6","Mazda","733","S","337941998789134","€32,57","89","2","2019-04-26 05:56:51"
"108583701-7","Toyota","915","S","4041375825662090","€31,70","1","1","2019-04-25 18:18:50"
"753777712-8","Nissan","35","S","345592806921078","€62,01","53","3","2019-04-15 14:13:05"
"821951906-1","Toyota","839","XS","340264578529860","€94,70","108","2","2019-04-08 01:59:15"
"970427225-1","Pontiac","642","2XL","561042439544297113","€80,02","52","1","2019-04-20 19:17:25"
"878276960-5","Saab","209","L","633495037883180160","€27,39","132","3","2019-04-27 22:39:09"
"446802007-5","Mitsubishi","924","2XL","5100139839355553","€22,71","64","3","2019-04-24 21:25:57"
"567443731-9","Chevrolet","690","XS","374288087187117","€48,86","61","1","2019-04-06 10:50:53"
"807969313-7","Volvo","260","M","30004071793273","€15,97","92","3","2019-04-20 04:35:33"
"315774345-7","Mazda","794","S","3576756404194693","€23,75","70","1","2019-04-03 06:02:37"
"215980207-7","Lotus","238","XS","3567532971910584","€68,50","51","3","2019-04-06 15:07:28"
"731860158-X","Suzuki","227","S","501807516686918225","€60,63","28","3","2019-04-10 17:22:24"
"989534617-4","Mercury","508","XS","6304163517706183676","€23,62","12","1","2019-04-16 11:47:58"
"387382409-4","Hyundai","464","2XL","6304807638130656","€27,67","104","1","2019-04-21 19:14:12"
"431077087-8","Dodge","831","2XL","56022136905920946","€18,36","21","1","2019-04-14 12:11:47"
"747670697-8","MINI","450","2XL","5010123910518031","€96,43","14","2","2019-04-24 04:14:02"
"722322243-3","Ford","514","XS","3565225889545210","€13,41","39","2","2019-05-02 04:46:13"
"454802118-3","Mitsubishi","340","3XL","3579138339710538","€78,88","24","3","2019-04-24 16:34:05"
"462738103-4","Saturn","500","3XL","5010122177572632","€5,41","61","3","2019-04-23 21:51:50"
"563232699-3","Scion","860","3XL","3561043620713904","€62,68","61","2","2019-04-01 10:34:28"
"405231442-5","Audi","265","2XL","3552772207070657","€29,63","91","2","2019-04-17 11:29:47"
"827795201-5","Honda","230","2XL","6331103618990559","€73,14","146","3","2019-05-01 16:51:21"
"550665162-7","Toyota","827","S","375363055760986","€26,83","96","2","2019-04-17 03:02:02"
"240223456-3","Honda","255","2XL","675914449508103812","€61,93","135","1","2019-04-22 17:33:02"
"973442122-0","Mercedes-Benz","291","S","6304855609430902134","€97,76","49","1","2019-04-17 06:07:51"
"287542425-4","Toyota","661","3XL","5434831082573661","€59,59","83","3","2019-05-01 01:52:46"
"614555550-5","Acura","673","XS","4041596541898227","€46,52","47","3","2019-04-18 08:39:23"
"350317664-0","GMC","382","2XL","6333986536633333588","€99,85","36","2","2019-04-01 21:07:43"
"880617739-7","Dodge","616","L","4175009011091503","€23,18","27","1","2019-04-10 15:15:35"
"928123887-X","Acura","601","S","4017953246394","€58,63","18","2","2019-04-11 02:24:04"
"561851321-8","Audi","695","S","56108620164291492","€23,55","118","2","2019-04-18 22:04:24"
"970910537-X","Ford","808","L","5010124803198071","€0,24","22","2","2019-04-08 09:06:22"
"552750352-X","BMW","253","3XL","3578857234195393","€32,48","3","1","2019-04-18 00:17:27"
"643923126-X","Hummer","46","L","502058544869309008","€4,72","55","3","2019-04-06 21:12:14"
"665437949-7","Toyota","167","2XL","3569463557224877","€56,47","97","2","2019-04-30 21:04:48"
"572763474-1","Mercedes-Benz","505","3XL","5429823860696001","€30,98","89","1","2019-04-14 13:42:20"
"632205376-0","Honda","380","XL","6759282664727322","€24,97","19","3","2019-04-15 03:38:40"
"339169206-5","Oldsmobile","124","2XL","3577821848239980","€47,56","66","1","2019-04-27 05:35:51"
"980052418-5","Oldsmobile","183","L","4026771012115356","€31,33","22","1","2019-05-01 17:24:13"
"995935322-2","BMW","837","L","4175003301819707","€20,12","43","1","2019-05-01 09:58:12"
"810555413-5","Chevrolet","286","XS","3572420080170709","€57,22","94","2","2019-04-06 15:07:19"
"320237476-1","Dodge","530","2XL","3573700924614874","€60,54","43","3","2019-04-12 06:21:51"
"915550263-6","Buick","804","L","3542683041501448","€75,37","122","3","2019-04-02 11:16:29"
"155341530-2","Audi","837","2XL","3574055809329067","€30,70","66","3","2019-04-07 13:26:57"
"173371115-5","Cadillac","870","2XL","0604299673818397","€90,09","52","1","2019-04-01 00:21:31"
"508578411-1","Cadillac","978","L","3548950036640182","€90,15","36","3","2019-04-03 01:39:38"
"581403429-7","Chrysler","66","M","201460849507440","€65,91","5","2","2019-04-06 08:55:38"
"633344727-7","Jaguar","426","XS","201870574470947","€19,40","33","1","2019-04-12 07:28:31"
"817037870-2","Jeep","597","L","633378592255466375","€55,26","77","2","2019-04-01 19:44:59"
"853336929-8","GMC","758","XS","50189944930910382","€33,92","51","3","2019-04-30 15:51:10"
"407144121-6","Scion","881","M","3568614530617071","€80,27","45","2","2019-04-13 11:35:17"
"864433920-6","Subaru","986","2XL","5038631847849996","€65,74","149","2","2019-04-01 07:26:05"
"567621163-6","Mercedes-Benz","614","S","3566029528289324","€31,06","124","1","2019-04-05 04:30:18"
"232027408-1","Subaru","625","S","6304952565092477","€99,27","38","2","2019-04-16 07:11:18"
"557629935-3","Chevrolet","437","XS","201447959005562","€71,15","23","3","2019-04-17 21:53:24"
"466017286-4","Toyota","363","2XL","3535270950167723","€98,14","42","3","2019-04-30 05:04:03"
"799077962-5","Toyota","243","3XL","6376007727524603","€77,73","13","2","2019-04-16 14:32:42"
"829930582-9","GMC","250","XS","5596693524311231","€45,58","143","1","2019-04-24 00:53:18"
"478284940-0","Lotus","873","XL","30050810837152","€14,55","123","2","2019-04-08 07:28:00"
"374517824-6","Cadillac","638","S","56106516586834517","€97,35","60","2","2019-04-18 10:28:23"
"414054923-8","GMC","514","3XL","675958148428319451","€94,61","87","1","2019-04-04 13:03:45"
"519736443-2","Lexus","13","M","3582500588206556","€73,86","99","2","2019-04-11 00:56:51"
"603561668-2","Hyundai","655","3XL","374283635740137","€98,20","48","2","2019-04-02 17:47:46"
"165107189-6","Mazda","687","S","5109646722666426","€74,86","23","1","2019-05-01 17:58:36"
"372499086-3","Nissan","144","L","3583825892011494","€50,92","104","1","2019-04-16 20:51:32"
"211455706-5","Chevrolet","412","3XL","4017951957239202","€59,54","120","3","2019-04-01 00:16:44"
"716344254-8","Audi","117","2XL","201640488552480","€15,98","58","1","2019-04-07 07:14:42"
"058832248-2","Mercedes-Benz","722","XS","337941485744931","€91,80","79","1","2019-04-13 18:06:57"
"935052093-1","Ferrari","862","M","3552620864597571","€30,27","134","3","2019-04-06 14:29:21"
"418988553-3","Toyota","105","XS","3551265502996446","€61,30","103","3","2019-04-16 19:51:35"
"674850576-3","Saab","726","XL","30461802569259","€61,92","86","2","2019-04-02 07:57:36"
"215345095-0","Suzuki","226","L","5602244251611732838","€97,48","18","3","2019-05-01 02:05:27"
"223215523-4","Lotus","383","M","5105436552516998","€29,37","37","1","2019-05-01 10:21:25"
"844513185-0","Buick","426","3XL","56105076391567829","€18,53","47","3","2019-04-02 04:14:19"
"898061591-4","Dodge","489","3XL","4936561614844622571","€22,30","139","2","2019-05-01 01:36:33"
"214396291-6","Ford","180","XL","6762405347674703","€68,41","91","1","2019-04-09 23:40:53"
"512157890-3","Toyota","523","L","3566357414123319","€5,74","148","1","2019-04-20 02:45:30"
"987580907-1","Maserati","717","M","6706664862124584489","€33,09","56","3","2019-04-08 22:53:48"
"996247900-2","Mercedes-Benz","12","L","3581566213030076","€25,40","145","3","2019-04-11 13:51:58"
"228119989-4","Volkswagen","810","XS","6767217251812387559","€99,31","79","3","2019-04-09 18:29:27"
"137221342-2","Toyota","576","S","5328279332967367","€45,69","145","2","2019-04-02 05:08:06"
"018714928-3","Jeep","654","M","3545401845970512","€17,68","114","1","2019-04-28 17:17:22"
"857496543-X","Mercury","515","L","6759414032617543","€99,07","111","1","2019-04-25 18:17:06"
"940567376-9","Hyundai","500","M","201673389007122","€63,04","63","3","2019-04-07 16:29:33"
"887790764-9","Nissan","450","M","3535683690483525","€20,06","13","2","2019-05-01 01:04:47"
"599501358-0","Chrysler","104","S","3553066934504982","€62,21","10","2","2019-04-23 03:53:38"
"033921953-X","Mercury","44","S","3543240688638055","€17,20","136","3","2019-04-18 00:57:34"
"076369036-8","Mercedes-Benz","484","XS","6373324362850091","€28,67","17","2","2019-04-26 02:45:36"
"926689502-4","BMW","962","S","3556620952535026","€28,02","40","2","2019-04-11 21:29:55"
"920256292-X","Aston Martin","857","2XL","3531457522412984","€6,76","117","1","2019-04-19 10:57:21"
"134937494-6","Toyota","575","M","3544964799517317","€21,64","70","1","2019-04-26 21:51:49"
"130869741-4","Lotus","211","M","6706804043071652","€35,50","73","3","2019-04-11 15:32:07"
"256187548-2","Ford","520","M","6771575795908449317","€72,89","59","2","2019-04-28 09:19:42"
"167700464-9","Dodge","897","M","337941939520002","€60,53","16","3","2019-05-01 23:33:52"
"578148203-2","Pontiac","521","L","3570144059206888","€25,70","130","3","2019-04-22 23:03:30"
"507839485-0","Pontiac","920","XS","3584171269348543","€97,86","49","1","2019-04-01 10:06:04"
"700514294-2","Chevrolet","603","L","3568855413924015","€40,82","17","1","2019-04-04 09:33:33"
"609861177-7","Mazda","36","XS","3542949809532317","€15,37","42","2","2019-04-29 12:47:53"
"924532387-0","Honda","397","2XL","3552880325467737","€60,02","121","3","2019-04-27 14:18:13"
"292700365-3","Buick","217","2XL","3566818034341060","€93,98","117","1","2019-04-11 02:49:32"
"544478063-1","Cadillac","83","XS","6759057799858402","€69,36","89","2","2019-04-27 02:41:42"
"380195843-4","BMW","303","S","3564264949797405","€38,62","52","3","2019-04-02 02:37:10"
"442534639-4","Mercedes-Benz","360","M","374622956596463","€94,47","27","3","2019-04-25 09:08:47"
"431317246-7","Toyota","216","XL","3534151388889735","€80,91","61","2","2019-04-29 18:41:55"
"641258929-5","Plymouth","297","XS","3566652189036195","€78,39","25","2","2019-04-29 19:18:44"
"491545497-5","Ford","44","L","4017951002245","€89,28","48","1","2019-04-07 22:06:43"
"730271134-8","Mercury","790","L","6759555324422825156","€23,98","123","2","2019-04-05 15:51:44"
"635994451-0","Mitsubishi","444","3XL","5602238365468583","€54,03","58","1","2019-04-07 21:07:18"
"425073444-7","Hyundai","799","XS","375164973487086","€50,24","114","1","2019-04-26 03:32:00"
"098307700-2","Toyota","735","3XL","3530969815334833","€26,77","28","1","2019-04-22 11:32:22"
"564308060-5","Mercedes-Benz","168","XS","5007661160289204","€47,78","41","1","2019-04-02 17:09:48"
"440988911-7","Cadillac","770","3XL","4917626612028338","€92,75","29","3","2019-04-19 08:22:47"
"908712854-1","GMC","86","XS","374283737518084","€14,21","98","2","2019-04-06 10:19:04"
"102136025-2","Lotus","320","3XL","3571712523097197","€82,33","59","1","2019-04-16 02:29:01"
"726676420-3","Lincoln","575","L","371891403618070","€3,50","71","2","2019-04-19 01:12:44"
"298392316-9","Mitsubishi","754","2XL","3557452361555158","€77,31","140","2","2019-04-10 11:04:09"
"983189281-X","Volvo","584","2XL","5513863695674226","€84,35","38","2","2019-04-19 19:42:14"
"289306889-8","Chevrolet","997","S","5602237926702787","€1,99","62","1","2019-04-01 17:41:57"
"547292084-1","Ford","692","XL","4913016164532842","€10,71","36","3","2019-04-05 10:11:41"
"654035641-2","BMW","701","XL","5100137741663023","€32,65","124","3","2019-04-11 03:07:12"
"541285943-7","Ford","618","XL","3541167138647687","€93,97","126","3","2019-04-01 02:23:31"
"052843036-X","BMW","906","M","5240933736089575","€50,83","109","3","2019-04-22 00:47:22"
"601440218-7","Scion","522","2XL","5100135995284058","€66,50","52","1","2019-04-24 03:31:57"
"099363793-0","Mercedes-Benz","735","M","4017956019319","€31,37","92","3","2019-04-11 09:23:59"
"655930613-5","Honda","856","L","3533503970868090","€41,27","122","2","2019-04-11 20:44:50"
"902942284-X","Audi","752","L","3577596555176498","€18,33","19","3","2019-04-02 15:35:43"
"256786428-8","Buick","625","S","3538614303883725","€7,74","14","1","2019-04-28 23:50:11"
"167860143-8","Buick","31","M","3589712950083231","€8,34","28","3","2019-04-08 09:51:41"
"674617315-1","Toyota","181","XS","3541252207973170","€40,25","22","2","2019-04-25 06:23:22"
"414241412-7","Infiniti","222","XS","4142032863223","€33,06","114","1","2019-04-29 16:35:13"
"764161658-5","Dodge","993","3XL","3587593094957254","€55,43","83","1","2019-05-01 23:19:23"
"111395387-X","Plymouth","631","XS","4017953165234314","€88,45","145","1","2019-04-13 05:50:16"
"369609909-0","Mitsubishi","366","XS","3542567604729720","€38,80","23","3","2019-04-16 22:15:21"
"615013940-9","BMW","703","XS","5230588899853142","€68,35","15","2","2019-04-11 05:20:20"
"388210943-2","BMW","731","3XL","3567525876560967","€28,46","90","1","2019-04-22 10:21:31"
"412711722-2","Porsche","793","3XL","3568385947876291","€97,70","77","1","2019-04-22 14:29:04"
"752531151-X","Lexus","88","3XL","3584023384216677","€19,15","20","1","2019-04-20 07:41:54"
"620561388-3","Jeep","364","3XL","4913633855105066","€45,23","1","1","2019-04-07 17:53:09"
"401803848-8","BMW","330","S","3538697559604994","€92,18","75","2","2019-04-23 06:33:26"
"159414533-4","GMC","919","M","3570052406320510","€32,03","16","1","2019-05-01 02:47:44"
"148840554-9","Toyota","740","L","3536106514872730","€86,49","78","1","2019-04-15 01:22:28"
"925250159-2","Mitsubishi","883","M","502089087578109379","€96,84","118","1","2019-04-07 00:21:36"
"231975703-1","Chevrolet","374","XL","5018190596705358","€4,60","144","2","2019-04-17 10:49:40"
"239830953-3","Toyota","508","XS","340107320083407","€84,74","132","2","2019-04-28 03:14:03"
"577553862-5","Isuzu","804","3XL","3569482226952007","€91,70","105","3","2019-04-26 19:43:22"
"646988621-3","Saab","987","3XL","3553395403947624","€25,77","90","3","2019-04-27 04:37:43"
"444425305-3","Subaru","676","L","5602224122252866","€61,97","113","2","2019-04-29 00:48:42"
"599436942-X","BMW","121","XL","5007663291854518","€84,56","124","1","2019-04-13 13:18:44"
"762315462-1","Hyundai","824","S","50183295262477789","€16,17","132","3","2019-05-02 14:36:40"
"734208677-0","Chrysler","898","XS","5100135848958718","€39,96","103","1","2019-04-09 12:45:16"
"103916294-0","Mercedes-Benz","104","L","5407653863611285","€84,45","121","2","2019-04-28 17:45:14"
"088026971-5","Ford","754","S","502053894436780180","€96,94","137","1","2019-04-20 12:58:47"
"737499477-X","Chevrolet","365","S","4508055865250172","€39,46","78","3","2019-04-09 12:06:25"
"963070795-0","Pontiac","67","S","4903451361169017952","€75,58","51","1","2019-04-29 10:39:18"
"968990750-6","Nissan","358","S","3574608449026707","€88,61","114","3","2019-04-26 21:52:51"
"707347430-0","Honda","563","XS","5100146184634938","€98,98","14","3","2019-04-16 17:59:13"
"520329648-0","Cadillac","475","S","5602254754804930876","€18,38","13","1","2019-04-29 14:10:42"
"302574235-6","Lincoln","319","XS","5331546222222656","€14,43","135","1","2019-04-11 19:23:07"
"216867522-8","Mitsubishi","407","S","201984243996974","€24,40","44","3","2019-04-30 11:30:50"
"722217459-1","Hummer","329","XL","4017951015685073","€56,25","39","2","2019-04-18 05:58:04"
"213720122-4","Oldsmobile","32","XS","374622103125505","€10,62","143","1","2019-04-17 23:57:50"
"085366675-X","Mercedes-Benz","888","2XL","3582727538805761","€7,01","114","3","2019-04-26 16:55:00"
"976948255-2","Subaru","522","3XL","4903512478740848775","€72,25","4","1","2019-04-26 18:45:02"
"253961280-6","Toyota","38","3XL","3543382664532942","€69,57","20","3","2019-04-16 02:33:49"
"984619363-7","Jeep","630","S","3553743457947588","€4,46","146","2","2019-04-02 23:37:11"
"057520765-5","Lincoln","924","S","201878852477252","€81,56","23","2","2019-04-19 01:28:37"
"722627327-6","Toyota","826","L","3585197019153643","€21,30","1","2","2019-04-24 10:31:47"
"396686576-9","Acura","832","L","3557672456414140","€39,62","147","3","2019-04-21 12:03:06"
"746343179-7","Acura","531","XL","6372556423755451","€42,49","124","3","2019-04-12 01:42:57"
"978835093-3","Audi","167","S","201516870028281","€25,78","44","1","2019-04-07 15:14:56"
"785450918-2","Chevrolet","800","XS","5602226051669473","€57,76","116","2","2019-04-29 21:08:24"
"039528443-0","GMC","357","3XL","5100149519786878","€2,57","116","1","2019-04-21 13:31:17"
"630449267-7","Lexus","410","L","3586472133670932","€38,39","46","2","2019-05-01 00:45:43"
"554634655-8","Rolls-Royce","43","L","5100172878606610","€24,36","113","2","2019-04-18 20:06:50"
"720530687-6","Mazda","152","XS","6372491253425936","€5,45","105","2","2019-04-19 22:51:27"
"373701739-5","Dodge","392","2XL","3535576265144524","€76,92","97","1","2019-04-17 09:19:52"
"511314829-6","Subaru","721","3XL","3561472731485674","€69,49","118","2","2019-05-01 00:12:47"
"892588673-1","Isuzu","795","2XL","3530709309424942","€87,55","150","3","2019-05-01 12:34:06"
"459647492-3","Chevrolet","400","2XL","5602246747039626","€27,37","4","2","2019-04-25 02:27:49"
"121933780-3","GMC","943","XL","3588126967298628","€34,67","16","2","2019-04-12 02:25:48"
"268195783-4","Dodge","170","3XL","5038911637935386120","€87,59","82","3","2019-04-18 01:43:03"
"133776377-2","Smart","722","3XL","3559632040886565","€80,10","47","1","2019-04-13 17:41:12"
"877990325-8","Ford","329","XL","30320691083543","€39,76","148","2","2019-04-07 18:45:27"
"173263568-4","Mercury","489","3XL","6334927374247524","€35,82","72","1","2019-04-02 03:40:24"
"917389909-7","Lexus","34","L","3572940138329023","€41,30","72","2","2019-04-22 20:01:53"
"886833087-3","BMW","929","2XL","67716552499874562","€97,86","36","2","2019-04-08 18:25:47"
"530204152-9","Dodge","146","3XL","3530051407859004","€34,85","44","3","2019-04-21 23:39:37"
"882050544-4","Audi","857","S","3576564454451025","€77,75","133","1","2019-04-18 00:54:04"
"253062829-7","Lexus","26","3XL","4905637997895541013","€81,68","6","2","2019-04-24 16:09:16"
"696563392-1","Dodge","684","3XL","5007666986340768","€68,29","138","1","2019-05-02 17:09:16"
"688478671-X","Cadillac","67","M","4917352555094647","€68,11","105","2","2019-04-11 10:49:12"
"514547075-4","Chevrolet","818","3XL","4041371825340","€90,91","98","3","2019-04-08 08:58:03"
"313409023-6","Mercedes-Benz","342","XS","5100175327473623","€97,53","6","3","2019-05-02 14:03:46"
"584789039-7","Nissan","341","L","4405168102112966","€34,85","39","3","2019-04-30 02:44:07"
"983876825-1","Chrysler","694","2XL","3582691612797569","€55,17","3","1","2019-04-17 08:32:24"
"472699888-9","GMC","531","3XL","372301970629376","€63,11","81","2","2019-04-25 03:07:43"
"895864294-7","Maserati","621","S","3557766229422339","€63,67","141","2","2019-04-09 12:27:40"
"861512079-X","Lexus","727","L","30452009925584","€76,36","145","1","2019-04-25 10:19:36"
"871718810-5","Chevrolet","411","S","5377656950066103","€36,52","128","1","2019-04-17 11:43:45"
"864688329-9","Cadillac","259","M","3533084248215497","€59,87","9","3","2019-04-26 16:19:53"
"928209510-X","Chrysler","796","S","490593400613313400","€74,10","119","2","2019-04-18 09:22:13"
"160611621-5","Audi","109","3XL","5610388198349557","€33,59","32","1","2019-04-16 17:47:38"
"229896574-9","Toyota","295","XS","3564884078594552","€55,10","109","2","2019-04-20 14:41:45"
"492192597-6","Cadillac","923","3XL","5100173502919148","€67,60","127","3","2019-04-04 11:42:08"
"539659419-5","Mazda","862","XS","3581611138961037","€20,69","131","3","2019-04-12 18:32:08"
"609341624-0","Hyundai","692","M","5100138364464699","€11,36","148","1","2019-04-16 18:54:16"
"179151805-2","Nissan","719","XL","3546472990414688","€39,56","123","1","2019-04-10 12:32:33"
"709700938-1","Chevrolet","992","XS","3570944610215348","€91,23","22","1","2019-04-02 03:32:23"
"987751166-5","Honda","290","M","5602247770790887","€26,98","117","3","2019-05-02 19:07:17"
"199765539-X","Mazda","166","XL","3561016313828205","€46,15","4","1","2019-04-03 12:43:20"
"977150785-0","Audi","606","2XL","3572888574108924","€2,62","73","2","2019-05-01 03:24:42"
"575199298-9","Audi","419","M","3544829126073872","€41,54","19","3","2019-05-01 12:52:38"
"970546483-9","Chevrolet","828","M","3573392296615604","€89,41","63","3","2019-04-07 21:31:21"
"039706804-2","Ford","436","XL","5038586194643402","€1,45","128","2","2019-04-05 13:58:38"
"679501310-3","Chrysler","551","M","3582808492386491","€85,64","66","1","2019-04-14 10:08:39"
"231427588-8","Lexus","548","L","3545523117979093","€86,82","101","2","2019-04-03 17:45:39"
"322029239-9","Jeep","388","3XL","3542546473368562","€44,44","56","3","2019-04-01 08:04:02"
"968900134-5","Alfa Romeo","120","XL","3569378486408732","€4,80","70","2","2019-04-25 22:34:22"
"594519932-X","Buick","653","3XL","3556293951766867","€0,67","108","2","2019-04-28 08:51:15"
